Timestamp,Steps,Avg_Reward_50,Epsilon,Done_Count
09:05:29,32,2.3570,0.9971,0
09:05:34,62,0.4420,0.9942,0
09:05:39,91,0.1140,0.9915,0
09:05:44,116,-0.0180,0.9891,0
09:05:50,121,-0.0150,0.9887,0
09:05:57,134,1.4780,0.9874,0
09:06:02,158,0.8600,0.9852,0
09:06:07,187,0.3180,0.9825,0
09:06:12,215,2.0590,0.9799,0
09:06:17,249,2.3970,0.9767,0
09:06:23,272,1.3210,0.9746,0
09:06:28,300,1.9860,0.9720,0
09:06:33,328,2.9170,0.9694,0
09:06:38,343,2.4700,0.9681,0
09:06:45,368,10.8790,0.9658,0
09:06:50,384,2.4790,0.9643,0
09:06:55,413,0.5340,0.9617,0
09:07:00,444,0.6900,0.9588,0
09:07:05,469,1.2140,0.9566,0
09:07:10,496,0.2600,0.9541,0
09:07:15,533,2.8020,0.9508,0
09:07:21,557,2.6670,0.9486,0
09:07:26,588,6.7240,0.9458,1
09:07:31,602,0.7140,0.9446,0
09:07:37,636,0.0610,0.9416,0
09:07:42,669,0.0220,0.9386,0
09:07:47,701,0.4180,0.9358,0
09:07:52,731,3.3440,0.9331,0
09:07:57,747,1.3080,0.9317,0
09:08:02,772,0.4550,0.9295,0
09:08:07,802,0.0620,0.9269,0
09:08:12,831,-0.0440,0.9243,0
09:08:18,838,-0.0170,0.9237,0
09:08:23,853,1.5710,0.9224,0
09:08:28,882,0.1860,0.9199,0
09:08:34,912,1.0420,0.9173,0
09:08:39,948,2.6430,0.9142,0
09:08:44,976,4.2160,0.9117,0
09:08:49,988,3.0010,0.9107,0
09:08:54,1017,0.2840,0.9082,0
09:08:59,1034,4.8020,0.9068,0
09:09:04,1051,3.2840,0.9053,0
09:09:09,1082,-0.0300,0.9027,0
09:09:14,1116,0.1330,0.8998,0
09:09:20,1142,0.2800,0.8976,0
09:09:26,1173,-0.0010,0.8949,0
09:09:32,1198,0.8610,0.8928,0
09:09:38,1212,0.0530,0.8916,0
09:09:43,1244,5.2240,0.8890,0
09:09:48,1261,0.6710,0.8875,0
09:09:54,1284,5.7960,0.8856,0
09:09:59,1302,1.2480,0.8841,0
09:10:04,1337,-0.0730,0.8812,1
09:10:09,1356,-0.0340,0.8796,0
09:10:14,1391,-0.0690,0.8767,0
09:10:19,1427,0.0390,0.8737,0
09:10:24,1468,-0.0420,0.8704,0
09:10:30,1488,2.6840,0.8687,0
09:10:35,1503,5.4720,0.8675,0
09:10:40,1523,0.2600,0.8659,0
09:10:45,1538,2.3830,0.8647,0
09:10:50,1571,0.0210,0.8620,0
09:10:55,1604,0.1370,0.8593,0
09:11:01,1641,0.1730,0.8563,0
09:11:06,1680,0.0990,0.8532,0
09:11:11,1722,0.0520,0.8498,0
09:11:16,1748,1.4890,0.8477,0
09:11:22,1784,4.4930,0.8449,0
09:11:28,1809,0.5620,0.8429,0
09:11:33,1840,0.0810,0.8404,0
09:11:38,1867,2.0030,0.8383,0
09:11:43,1897,0.0720,0.8359,0
09:11:48,1928,-0.0620,0.8335,0
09:11:53,1943,0.0400,0.8323,0
09:11:58,1970,0.0540,0.8302,0
09:12:03,1999,0.0560,0.8279,0
09:12:09,2024,2.3930,0.8260,0
09:12:14,2051,0.5990,0.8239,0
09:12:20,2078,-0.0340,0.8218,0
09:12:25,2093,0.9330,0.8207,0
09:12:32,2117,4.6360,0.8188,0
09:12:37,2148,7.3940,0.8164,0
09:12:43,2181,0.6240,0.8139,0
09:12:49,2202,1.7880,0.8123,0
09:12:54,2219,2.6820,0.8110,0
09:12:59,2247,0.1140,0.8089,0
09:13:04,2284,0.5940,0.8061,0
09:13:09,2323,0.2260,0.8031,0
09:13:14,2363,0.0880,0.8001,0
09:13:19,2402,0.0920,0.7972,0
09:13:24,2440,0.8820,0.7944,0
09:13:29,2466,0.0830,0.7925,0
09:13:35,2494,2.6490,0.7904,0
09:13:40,2517,3.0770,0.7887,0
09:13:47,2545,5.1560,0.7866,0
09:13:52,2574,1.5560,0.7845,0
09:13:57,2598,0.1720,0.7827,0
09:14:03,2631,2.3750,0.7803,0
09:14:08,2666,0.6960,0.7778,0
09:14:13,2699,0.1910,0.7754,0
09:14:18,2730,0.4370,0.7731,0
09:14:23,2771,0.5200,0.7702,0
09:14:29,2780,1.4830,0.7695,0
09:14:36,2790,5.9980,0.7688,0
09:14:43,2817,11.2450,0.7668,0
09:14:48,2846,0.1150,0.7648,0
09:14:53,2862,1.1850,0.7636,0
09:14:58,2881,4.1860,0.7623,0
09:15:03,2919,-0.0580,0.7596,0
09:15:09,2958,-0.0210,0.7568,0
09:15:14,2998,-0.0760,0.7540,0
09:15:19,3036,-0.0560,0.7513,0
09:15:25,3069,1.4630,0.7490,0
09:15:30,3081,6.9380,0.7482,0
09:15:35,3096,7.8480,0.7471,1
09:15:41,3101,-0.0100,0.7468,0
09:15:46,3117,7.5550,0.7457,0
09:15:52,3136,2.7140,0.7443,0
09:15:57,3163,4.0490,0.7425,1
09:16:02,3180,2.6850,0.7413,0
09:16:07,3199,2.9700,0.7400,0
09:16:13,3206,-0.0170,0.7395,0
09:16:18,3245,0.8760,0.7368,0
09:16:23,3286,-0.0310,0.7340,0
09:16:29,3326,0.0170,0.7313,0
09:16:34,3367,-0.0210,0.7285,0
09:16:39,3408,-0.0420,0.7257,0
09:16:44,3446,1.1410,0.7231,0
09:16:49,3479,-0.0640,0.7209,0
09:16:54,3513,-0.0700,0.7187,1
