Timestamp,Batch,Loss,Avg_Reward,Buffer_Size,Epsilon
08:07:19,1,8.4553,6.4891,32,0.9999
,CHECKPOINT BATCH 5,5.7039,,,
,CHECKPOINT BATCH 10,7.2904,,,
,CHECKPOINT BATCH 15,7.9728,,,
,CHECKPOINT BATCH 20,5.3422,,,
08:07:21,22,5.3604,4.2415,53,0.9979
,CHECKPOINT BATCH 25,5.6874,,,
,CHECKPOINT BATCH 30,4.1705,,,
,CHECKPOINT BATCH 35,5.7179,,,
08:07:24,40,3.5698,3.6035,71,0.9962
,CHECKPOINT BATCH 40,3.5698,,,
,CHECKPOINT BATCH 45,4.1233,,,
,CHECKPOINT BATCH 50,4.5223,,,
,CHECKPOINT BATCH 55,4.9064,,,
08:07:26,58,6.7155,3.5337,89,0.9945
,CHECKPOINT BATCH 60,7.0378,,,
,CHECKPOINT BATCH 65,8.4157,,,
,CHECKPOINT BATCH 70,5.1827,,,
08:07:30,71,10.8847,4.1780,102,0.9933
,CHECKPOINT BATCH 75,5.7713,,,
08:07:33,76,13.1300,4.9055,107,0.9928
,CHECKPOINT BATCH 80,8.4915,,,
,CHECKPOINT BATCH 85,9.7483,,,
08:07:37,90,7.9572,5.4415,121,0.9915
,CHECKPOINT BATCH 90,7.9572,,,
,CHECKPOINT BATCH 95,5.8616,,,
08:07:41,96,15.9248,5.4100,127,0.9909
,CHECKPOINT BATCH 100,14.6754,,,
,CHECKPOINT BATCH 105,19.2910,,,
,CHECKPOINT BATCH 110,14.0164,,,
08:07:43,113,6.7047,5.3850,144,0.9893
,CHECKPOINT BATCH 115,13.2995,,,
,CHECKPOINT BATCH 120,11.8648,,,
,CHECKPOINT BATCH 125,14.2825,,,
08:07:45,130,5.9726,5.9535,161,0.9877
,CHECKPOINT BATCH 130,5.9726,,,
,CHECKPOINT BATCH 135,5.6479,,,
,CHECKPOINT BATCH 140,10.6941,,,
,CHECKPOINT BATCH 145,7.4669,,,
08:07:47,148,7.3923,5.4915,179,0.9860
,CHECKPOINT BATCH 150,6.6928,,,
,CHECKPOINT BATCH 155,16.8411,,,
,CHECKPOINT BATCH 160,6.3829,,,
,CHECKPOINT BATCH 165,9.1064,,,
08:07:49,166,8.1550,4.8865,197,0.9844
,CHECKPOINT BATCH 170,5.6833,,,
,CHECKPOINT BATCH 175,11.8242,,,
,CHECKPOINT BATCH 180,11.0866,,,
08:07:51,184,14.5409,1.8705,215,0.9827
,CHECKPOINT BATCH 185,19.3638,,,
,CHECKPOINT BATCH 190,4.4602,,,
08:07:54,195,16.6362,1.5680,226,0.9817
,CHECKPOINT BATCH 195,16.6362,,,
,CHECKPOINT BATCH 200,11.8371,,,
,CHECKPOINT BATCH 205,5.1939,,,
08:07:56,210,5.2856,0.6845,241,0.9803
,CHECKPOINT BATCH 210,5.2856,,,
,CHECKPOINT BATCH 215,6.5217,,,
,CHECKPOINT BATCH 220,5.5092,,,
,CHECKPOINT BATCH 225,4.9815,,,
08:07:58,226,6.0015,0.1305,257,0.9788
08:08:01,230,9.0427,0.8855,261,0.9784
,CHECKPOINT BATCH 230,9.0427,,,
,CHECKPOINT BATCH 235,8.5088,,,
,CHECKPOINT BATCH 240,10.4190,,,
,CHECKPOINT BATCH 245,14.7223,,,
08:08:03,248,9.6992,1.9815,279,0.9767
,CHECKPOINT BATCH 250,17.4373,,,
,CHECKPOINT BATCH 255,14.2062,,,
,CHECKPOINT BATCH 260,7.6925,,,
08:08:05,264,18.8521,2.0135,295,0.9752
,CHECKPOINT BATCH 265,14.7524,,,
,CHECKPOINT BATCH 270,7.5260,,,
,CHECKPOINT BATCH 275,8.8209,,,
08:08:08,280,8.1024,2.0465,311,0.9738
,CHECKPOINT BATCH 280,8.1024,,,
,CHECKPOINT BATCH 285,14.0250,,,
,CHECKPOINT BATCH 290,16.7437,,,
,CHECKPOINT BATCH 295,21.4463,,,
08:08:10,297,6.5986,2.3775,328,0.9722
,CHECKPOINT BATCH 300,6.5202,,,
,CHECKPOINT BATCH 305,6.9038,,,
,CHECKPOINT BATCH 310,11.3476,,,
08:08:12,315,6.2369,2.6725,346,0.9705
,CHECKPOINT BATCH 315,6.2369,,,
,CHECKPOINT BATCH 320,6.1678,,,
,CHECKPOINT BATCH 325,14.0339,,,
,CHECKPOINT BATCH 330,8.6394,,,
08:08:14,332,6.1100,1.3060,363,0.9690
,CHECKPOINT BATCH 335,6.1475,,,
,CHECKPOINT BATCH 340,7.0040,,,
,CHECKPOINT BATCH 345,6.9827,,,
08:08:16,350,6.0645,0.8540,381,0.9673
,CHECKPOINT BATCH 350,6.0645,,,
,CHECKPOINT BATCH 355,10.7365,,,
,CHECKPOINT BATCH 360,8.3846,,,
,CHECKPOINT BATCH 365,11.4027,,,
08:08:18,367,5.3765,1.4495,398,0.9658
,CHECKPOINT BATCH 370,5.3368,,,
,CHECKPOINT BATCH 375,8.6587,,,
,CHECKPOINT BATCH 380,10.9539,,,
08:08:20,383,5.8630,1.8730,414,0.9643
,CHECKPOINT BATCH 385,5.1917,,,
,CHECKPOINT BATCH 390,9.5500,,,
,CHECKPOINT BATCH 395,13.4814,,,
08:08:22,400,6.7783,2.4450,431,0.9627
,CHECKPOINT BATCH 400,6.7783,,,
08:08:25,402,10.2783,3.0420,433,0.9626
,CHECKPOINT BATCH 405,8.5586,,,
,CHECKPOINT BATCH 410,8.7611,,,
08:08:29,412,11.8554,3.9300,443,0.9617
,CHECKPOINT BATCH 415,14.6794,,,
,CHECKPOINT BATCH 420,10.2917,,,
,CHECKPOINT BATCH 425,5.4495,,,
08:08:32,429,3.8476,3.7465,460,0.9601
,CHECKPOINT BATCH 430,4.8940,,,
,CHECKPOINT BATCH 435,6.2653,,,
,CHECKPOINT BATCH 440,6.3582,,,
,CHECKPOINT BATCH 445,7.8158,,,
08:08:34,446,7.8789,3.7125,477,0.9586
,CHECKPOINT BATCH 450,11.6903,,,
,CHECKPOINT BATCH 455,8.0449,,,
,CHECKPOINT BATCH 460,4.8406,,,
08:08:36,463,5.9901,3.2260,494,0.9570
,CHECKPOINT BATCH 465,12.9467,,,
,CHECKPOINT BATCH 470,4.8324,,,
,CHECKPOINT BATCH 475,5.0496,,,
08:08:38,479,6.8677,2.4685,510,0.9556
,CHECKPOINT BATCH 480,6.1493,,,
,CHECKPOINT BATCH 485,9.9081,,,
,CHECKPOINT BATCH 490,6.7175,,,
,CHECKPOINT BATCH 495,5.2290,,,
08:08:40,496,4.7932,1.7215,527,0.9540
,CHECKPOINT BATCH 500,5.0187,,,
,CHECKPOINT BATCH 505,5.6121,,,
,CHECKPOINT BATCH 510,4.4881,,,
08:08:42,513,8.1104,-0.0635,544,0.9525
,CHECKPOINT BATCH 515,6.5627,,,
,CHECKPOINT BATCH 520,5.5437,,,
,CHECKPOINT BATCH 525,6.9270,,,
08:08:44,530,6.3928,-0.0560,561,0.9510
,CHECKPOINT BATCH 530,6.3928,,,
,CHECKPOINT BATCH 535,5.1330,,,
,CHECKPOINT BATCH 540,4.1728,,,
,CHECKPOINT BATCH 545,4.5102,,,
08:08:46,547,7.4445,-0.0295,578,0.9494
,CHECKPOINT BATCH 550,3.6345,,,
,CHECKPOINT BATCH 555,8.6340,,,
,CHECKPOINT BATCH 560,5.1586,,,
08:08:48,562,8.2258,-0.0220,593,0.9481
,CHECKPOINT BATCH 565,5.6946,,,
,CHECKPOINT BATCH 570,8.2701,,,
,CHECKPOINT BATCH 575,5.7644,,,
08:08:50,579,10.3342,-0.0220,610,0.9466
,CHECKPOINT BATCH 580,11.1821,,,
,CHECKPOINT BATCH 585,5.4474,,,
08:08:54,586,7.0166,0.7290,617,0.9459
,CHECKPOINT BATCH 590,6.4276,,,
08:08:57,593,5.7771,1.1815,624,0.9453
,CHECKPOINT BATCH 595,5.0479,,,
,CHECKPOINT BATCH 600,4.4734,,,
08:09:01,602,7.3546,1.9195,633,0.9445
,CHECKPOINT BATCH 605,5.6004,,,
,CHECKPOINT BATCH 610,9.2595,,,
08:09:04,612,11.3222,2.3580,643,0.9436
,CHECKPOINT BATCH 615,12.8581,,,
,CHECKPOINT BATCH 620,10.9404,,,
08:09:07,622,8.3598,3.0995,653,0.9427
,CHECKPOINT BATCH 625,15.0730,,,
,CHECKPOINT BATCH 630,11.2180,,,
,CHECKPOINT BATCH 635,13.2967,,,
08:09:10,639,11.8390,4.6085,670,0.9412
,CHECKPOINT BATCH 640,9.6451,,,
,CHECKPOINT BATCH 645,7.1460,,,
,CHECKPOINT BATCH 650,12.2455,,,
08:09:12,654,15.8497,5.6685,685,0.9399
,CHECKPOINT BATCH 655,7.8012,,,
,CHECKPOINT BATCH 660,14.0880,,,
08:09:16,662,6.1323,6.8770,693,0.9391
,CHECKPOINT BATCH 665,10.3945,,,
,CHECKPOINT BATCH 670,7.3857,,,
,CHECKPOINT BATCH 675,8.4960,,,
08:09:18,678,9.6869,6.8780,709,0.9377
,CHECKPOINT BATCH 680,20.1531,,,
,CHECKPOINT BATCH 685,14.4814,,,
,CHECKPOINT BATCH 690,18.3431,,,
08:09:20,692,9.9177,5.8420,723,0.9365
,CHECKPOINT BATCH 695,12.7798,,,
08:09:23,699,7.6770,6.5910,730,0.9359
,CHECKPOINT BATCH 700,10.2941,,,
,CHECKPOINT BATCH 705,16.2703,,,
,CHECKPOINT BATCH 710,12.7424,,,
08:09:25,713,9.8508,5.5390,744,0.9346
,CHECKPOINT BATCH 715,9.7585,,,
08:09:27,720,11.3759,5.3885,751,0.9340
,CHECKPOINT BATCH 720,11.3759,,,
,CHECKPOINT BATCH 725,16.4847,,,
08:09:30,727,15.6808,4.3255,758,0.9334
,CHECKPOINT BATCH 730,18.9717,,,
,CHECKPOINT BATCH 735,14.3445,,,
,CHECKPOINT BATCH 740,13.3879,,,
08:09:32,744,10.5870,3.1185,775,0.9319
,CHECKPOINT BATCH 745,23.2437,,,
,CHECKPOINT BATCH 750,9.4616,,,
,CHECKPOINT BATCH 755,30.7539,,,
08:09:34,760,7.9560,0.9755,791,0.9305
,CHECKPOINT BATCH 760,7.9560,,,
,CHECKPOINT BATCH 765,8.8557,,,
,CHECKPOINT BATCH 770,12.5741,,,
,CHECKPOINT BATCH 775,18.5879,,,
,CHECKPOINT BATCH 780,13.9778,,,
08:09:38,781,10.9642,0.9780,812,0.9286
,CHECKPOINT BATCH 785,18.7957,,,
,CHECKPOINT BATCH 790,15.3624,,,
,CHECKPOINT BATCH 795,10.7341,,,
08:09:40,797,9.8276,0.2275,828,0.9272
,CHECKPOINT BATCH 800,7.7711,,,
,CHECKPOINT BATCH 805,6.4721,,,
,CHECKPOINT BATCH 810,15.0360,,,
08:09:42,813,10.2323,-0.0675,844,0.9258
,CHECKPOINT BATCH 815,10.8906,,,
,CHECKPOINT BATCH 820,7.7302,,,
,CHECKPOINT BATCH 825,12.1262,,,
08:09:44,828,11.1827,0.4035,859,0.9245
,CHECKPOINT BATCH 830,9.8873,,,
08:09:47,832,16.0895,0.5575,863,0.9242
,CHECKPOINT BATCH 835,15.2684,,,
,CHECKPOINT BATCH 840,21.5693,,,
,CHECKPOINT BATCH 845,43.8087,,,
08:09:49,848,19.9235,0.6370,879,0.9228
,CHECKPOINT BATCH 850,13.9061,,,
,CHECKPOINT BATCH 855,15.4452,,,
,CHECKPOINT BATCH 860,14.6397,,,
08:09:51,862,20.0373,0.8525,893,0.9215
,CHECKPOINT BATCH 865,10.4133,,,
,CHECKPOINT BATCH 870,12.4373,,,
,CHECKPOINT BATCH 875,12.0088,,,
08:09:54,878,19.3454,0.8940,909,0.9201
,CHECKPOINT BATCH 880,30.7896,,,
,CHECKPOINT BATCH 885,14.0816,,,
08:09:56,889,12.4864,1.9840,920,0.9192
,CHECKPOINT BATCH 890,16.2398,,,
,CHECKPOINT BATCH 895,15.6435,,,
,CHECKPOINT BATCH 900,24.4917,,,
,CHECKPOINT BATCH 905,7.9525,,,
08:09:58,908,8.3433,3.5840,939,0.9175
,CHECKPOINT BATCH 910,9.0634,,,
,CHECKPOINT BATCH 915,10.4997,,,
08:10:00,916,10.7878,4.6400,947,0.9168
,CHECKPOINT BATCH 920,9.3736,,,
08:10:03,923,9.3891,5.3935,954,0.9162
,CHECKPOINT BATCH 925,10.7848,,,
08:10:05,930,11.5280,5.9925,961,0.9156
,CHECKPOINT BATCH 930,11.5280,,,
,CHECKPOINT BATCH 935,15.2851,,,
,CHECKPOINT BATCH 940,8.2640,,,
,CHECKPOINT BATCH 945,12.9801,,,
08:10:07,948,25.6631,6.9740,979,0.9141
,CHECKPOINT BATCH 950,9.2411,,,
,CHECKPOINT BATCH 955,6.6469,,,
08:10:11,960,8.5922,8.1215,991,0.9130
,CHECKPOINT BATCH 960,8.5922,,,
,CHECKPOINT BATCH 965,12.9984,,,
,CHECKPOINT BATCH 970,8.2995,,,
,CHECKPOINT BATCH 975,8.3946,,,
08:10:13,976,9.5842,9.3730,1007,0.9117
,CHECKPOINT BATCH 980,21.7273,,,
,CHECKPOINT BATCH 985,19.0357,,,
,CHECKPOINT BATCH 990,7.6857,,,
08:10:15,993,10.0918,8.1520,1024,0.9102
,CHECKPOINT BATCH 995,13.8829,,,
,CHECKPOINT BATCH 1000,15.2502,,,
,CHECKPOINT BATCH 1005,11.2643,,,
08:10:18,1010,10.6030,7.0525,1041,0.9087
,CHECKPOINT BATCH 1010,10.6030,,,
,CHECKPOINT BATCH 1015,15.6245,,,
,CHECKPOINT BATCH 1020,20.4016,,,
,CHECKPOINT BATCH 1025,11.3782,,,
08:10:20,1027,19.2059,5.5475,1058,0.9073
,CHECKPOINT BATCH 1030,12.2775,,,
,CHECKPOINT BATCH 1035,12.1553,,,
08:10:24,1039,16.2676,5.5415,1070,0.9062
,CHECKPOINT BATCH 1040,11.1541,,,
,CHECKPOINT BATCH 1045,7.7214,,,
08:10:27,1046,8.8505,5.9975,1077,0.9057
,CHECKPOINT BATCH 1050,10.5777,,,
,CHECKPOINT BATCH 1055,9.8864,,,
,CHECKPOINT BATCH 1060,6.7126,,,
08:10:29,1061,13.6110,4.5215,1092,0.9044
,CHECKPOINT BATCH 1065,7.1682,,,
,CHECKPOINT BATCH 1070,9.3079,,,
08:10:33,1073,12.1378,4.3105,1104,0.9033
,CHECKPOINT BATCH 1075,8.6916,,,
,CHECKPOINT BATCH 1080,13.7816,,,
,CHECKPOINT BATCH 1085,8.5823,,,
,CHECKPOINT BATCH 1090,12.2596,,,
08:10:36,1091,16.7161,5.9105,1122,0.9018
,CHECKPOINT BATCH 1095,8.9988,,,
,CHECKPOINT BATCH 1100,11.2543,,,
,CHECKPOINT BATCH 1105,13.2398,,,
08:10:38,1108,9.8332,5.8760,1139,0.9004
,CHECKPOINT BATCH 1110,7.4850,,,
,CHECKPOINT BATCH 1115,16.9421,,,
08:10:41,1118,9.0113,7.0615,1149,0.8995
,CHECKPOINT BATCH 1120,10.6392,,,
,CHECKPOINT BATCH 1125,16.6311,,,
,CHECKPOINT BATCH 1130,10.5196,,,
08:10:43,1134,7.3608,7.5100,1165,0.8982
,CHECKPOINT BATCH 1135,8.2513,,,
,CHECKPOINT BATCH 1140,15.5690,,,
,CHECKPOINT BATCH 1145,11.8072,,,
,CHECKPOINT BATCH 1150,17.5312,,,
08:10:46,1151,8.5041,5.9745,1182,0.8967
,CHECKPOINT BATCH 1155,11.2527,,,
,CHECKPOINT BATCH 1160,9.7869,,,
,CHECKPOINT BATCH 1165,11.2664,,,
08:10:48,1168,14.8915,5.9605,1199,0.8953
,CHECKPOINT BATCH 1170,8.8824,,,
,CHECKPOINT BATCH 1175,8.2440,,,
,CHECKPOINT BATCH 1180,10.6091,,,
08:10:50,1184,13.6370,3.9805,1215,0.8939
,CHECKPOINT BATCH 1185,10.1650,,,
,CHECKPOINT BATCH 1190,15.3496,,,
,CHECKPOINT BATCH 1195,9.7441,,,
08:10:52,1197,9.2810,4.7360,1228,0.8928
,CHECKPOINT BATCH 1200,8.7340,,,
,CHECKPOINT BATCH 1205,9.8651,,,
08:10:56,1207,9.9881,5.4990,1238,0.8920
,CHECKPOINT BATCH 1210,20.4110,,,
,CHECKPOINT BATCH 1215,9.1974,,,
08:11:00,1219,8.0180,4.8960,1250,0.8910
,CHECKPOINT BATCH 1220,8.1277,,,
,CHECKPOINT BATCH 1225,8.3304,,,
,CHECKPOINT BATCH 1230,13.4716,,,
,CHECKPOINT BATCH 1235,9.6329,,,
08:11:02,1238,10.0008,5.7310,1269,0.8894
,CHECKPOINT BATCH 1240,12.0714,,,
,CHECKPOINT BATCH 1245,8.8527,,,
,CHECKPOINT BATCH 1250,7.1500,,,
08:11:07,1251,12.2851,6.4895,1282,0.8883
,CHECKPOINT BATCH 1255,12.2363,,,
,CHECKPOINT BATCH 1260,9.5670,,,
08:11:10,1263,9.9608,6.4920,1294,0.8873
,CHECKPOINT BATCH 1265,16.4650,,,
,CHECKPOINT BATCH 1270,13.4024,,,
08:11:14,1272,10.0559,7.2485,1303,0.8865
,CHECKPOINT BATCH 1275,8.5794,,,
,CHECKPOINT BATCH 1280,9.3133,,,
,CHECKPOINT BATCH 1285,13.3579,,,
,CHECKPOINT BATCH 1290,11.5102,,,
08:11:17,1292,10.0929,8.1815,1323,0.8849
,CHECKPOINT BATCH 1295,8.6872,,,
08:11:20,1297,8.0220,7.7320,1328,0.8844
,CHECKPOINT BATCH 1300,10.6444,,,
,CHECKPOINT BATCH 1305,8.2762,,,
,CHECKPOINT BATCH 1310,13.0685,,,
08:11:22,1312,13.3223,7.6425,1343,0.8832
,CHECKPOINT BATCH 1315,6.7222,,,
,CHECKPOINT BATCH 1320,14.0649,,,
,CHECKPOINT BATCH 1325,12.4922,,,
08:11:24,1326,11.9866,6.8745,1357,0.8820
,CHECKPOINT BATCH 1330,8.5829,,,
,CHECKPOINT BATCH 1335,7.1607,,,
08:11:28,1336,7.5092,7.5865,1367,0.8812
,CHECKPOINT BATCH 1340,8.5477,,,
,CHECKPOINT BATCH 1345,9.9201,,,
,CHECKPOINT BATCH 1350,13.9676,,,
08:11:30,1352,6.6187,8.1965,1383,0.8799
,CHECKPOINT BATCH 1355,9.7233,,,
,CHECKPOINT BATCH 1360,13.9998,,,
,CHECKPOINT BATCH 1365,6.5814,,,
08:11:32,1368,8.5037,9.4035,1399,0.8785
,CHECKPOINT BATCH 1370,6.3575,,,
,CHECKPOINT BATCH 1375,8.6132,,,
,CHECKPOINT BATCH 1380,8.9385,,,
08:11:34,1384,5.1602,7.4115,1415,0.8772
,CHECKPOINT BATCH 1385,9.8604,,,
,CHECKPOINT BATCH 1390,8.9907,,,
,CHECKPOINT BATCH 1395,10.4920,,,
08:11:36,1400,9.8738,7.2730,1431,0.8759
,CHECKPOINT BATCH 1400,9.8738,,,
,CHECKPOINT BATCH 1405,11.8028,,,
,CHECKPOINT BATCH 1410,12.0084,,,
